fiscal_year,fiscal_year_start,sex,triage_level,ctas_urgency_score,age_group,population_category,ed_visits,median_los_minutes,median_los_hours,is_suppressed
2019-2020,2019,Female,CTAS III - Urgent,3,20-44,Young Adult,1165671,210.0,3.5,0
2019-2020,2019,Female,Less urgent,3,20-44,Young Adult,764252,150.0,2.5,0
2019-2020,2019,Female,Non-urgent,3,20-44,Young Adult,264595,114.0,1.9,0
2019-2020,2019,Female,Unknown,3,20-44,Young Adult,20721,78.0,1.3,0
2019-2020,2019,Female,CTAS III - Urgent,3,45-64,Middle Adult,754352,234.0,3.9,0
2019-2020,2019,Female,Less urgent,3,45-64,Middle Adult,504382,156.0,2.6,0
2019-2020,2019,Female,Non-urgent,3,45-64,Middle Adult,179597,114.0,1.9,0
2019-2020,2019,Female,Unknown,3,45-64,Middle Adult,12074,78.0,1.3,0
2019-2020,2019,Female,CTAS III - Urgent,3,65+,Older Adult,885749,330.0,5.5,0
2019-2020,2019,Female,Less urgent,3,65+,Older Adult,453188,216.0,3.6,0
2019-2020,2019,Female,Non-urgent,3,65+,Older Adult,139200,126.0,2.1,0
2019-2020,2019,Female,Unknown,3,65+,Older Adult,9491,108.0,1.8,0
2019-2020,2019,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,652389,156.0,2.6,0
2019-2020,2019,Male,Less urgent,3,0-19,Pediatric & Youth,530323,126.0,2.1,0
2019-2020,2019,Male,Non-urgent,3,0-19,Pediatric & Youth,145540,108.0,1.8,0
2019-2020,2019,Male,Unknown,3,0-19,Pediatric & Youth,10002,72.0,1.2,0
2019-2020,2019,Male,CTAS III - Urgent,3,20-44,Young Adult,860430,198.0,3.3,0
2019-2020,2019,Male,Less urgent,3,20-44,Young Adult,702659,144.0,2.4,0
2019-2020,2019,Male,Non-urgent,3,20-44,Young Adult,256815,114.0,1.9,0
2019-2020,2019,Male,Unknown,3,20-44,Young Adult,17632,78.0,1.3,0
2019-2020,2019,Male,CTAS III - Urgent,3,45-64,Middle Adult,707475,234.0,3.9,0
2019-2020,2019,Male,Less urgent,3,45-64,Middle Adult,497871,156.0,2.6,0
2019-2020,2019,Male,Non-urgent,3,45-64,Middle Adult,198870,108.0,1.8,0
2019-2020,2019,Male,Unknown,3,45-64,Middle Adult,13753,72.0,1.2,0
2019-2020,2019,Male,CTAS III - Urgent,3,65+,Older Adult,740098,318.0,5.3,0
2019-2020,2019,Male,Less urgent,3,65+,Older Adult,385561,198.0,3.3,0
2019-2020,2019,Male,Non-urgent,3,65+,Older Adult,142822,114.0,1.9,0
2019-2020,2019,Male,Unknown,3,65+,Older Adult,10324,90.0,1.5,0
2018-2019,2018,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,9189,222.0,3.7,0
2018-2019,2018,Female,CTAS I - Resuscitation,1,20-44,Young Adult,10132,300.0,5.0,0
2018-2019,2018,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,11694,294.0,4.9,0
2018-2019,2018,Female,CTAS I - Resuscitation,1,65+,Older Adult,25354,390.0,6.5,0
2018-2019,2018,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,11356,216.0,3.6,0
2018-2019,2018,Male,CTAS I - Resuscitation,1,20-44,Young Adult,16943,288.0,4.8,0
2018-2019,2018,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,19698,258.0,4.3,0
2018-2019,2018,Male,CTAS I - Resuscitation,1,65+,Older Adult,28229,324.0,5.4,0
2018-2019,2018,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,209280,204.0,3.4,0
2018-2019,2018,Female,CTAS II - Emergent,2,20-44,Young Adult,374911,264.0,4.4,0
2018-2019,2018,Female,CTAS II - Emergent,2,45-64,Middle Adult,312477,294.0,4.9,0
2018-2019,2018,Female,CTAS II - Emergent,2,65+,Older Adult,355483,396.0,6.6,0
2018-2019,2018,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,229117,192.0,3.2,0
2018-2019,2018,Male,CTAS II - Emergent,2,20-44,Young Adult,327550,258.0,4.3,0
2018-2019,2018,Male,CTAS II - Emergent,2,45-64,Middle Adult,338755,306.0,5.1,0
2018-2019,2018,Male,CTAS II - Emergent,2,65+,Older Adult,338375,396.0,6.6,0
2018-2019,2018,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,617614,162.0,2.7,0
2018-2019,2018,Female,Less urgent,3,0-19,Pediatric & Youth,545974,126.0,2.1,0
2018-2019,2018,Female,Non-urgent,3,0-19,Pediatric & Youth,141285,108.0,1.8,0
2018-2019,2018,Female,Unknown,3,0-19,Pediatric & Youth,10316,72.0,1.2,0
2018-2019,2018,Female,CTAS III - Urgent,3,20-44,Young Adult,1141425,210.0,3.5,0
2018-2019,2018,Female,Less urgent,3,20-44,Young Adult,820381,144.0,2.4,0
2018-2019,2018,Female,Non-urgent,3,20-44,Young Adult,255325,108.0,1.8,0
2018-2019,2018,Female,Unknown,3,20-44,Young Adult,20669,72.0,1.2,0
2018-2019,2018,Female,CTAS III - Urgent,3,45-64,Middle Adult,757050,234.0,3.9,0
2018-2019,2018,Female,Less urgent,3,45-64,Middle Adult,544374,150.0,2.5,0
2018-2019,2018,Female,Non-urgent,3,45-64,Middle Adult,181073,108.0,1.8,0
2018-2019,2018,Female,Unknown,3,45-64,Middle Adult,12429,78.0,1.3,0
2018-2019,2018,Female,CTAS III - Urgent,3,65+,Older Adult,866993,324.0,5.4,0
2018-2019,2018,Female,Less urgent,3,65+,Older Adult,479225,210.0,3.5,0
2018-2019,2018,Female,Non-urgent,3,65+,Older Adult,137089,126.0,2.1,0
2018-2019,2018,Female,Unknown,3,65+,Older Adult,9612,102.0,1.7,0
2018-2019,2018,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,636798,156.0,2.6,0
2018-2019,2018,Male,Less urgent,3,0-19,Pediatric & Youth,570018,120.0,2.0,0
2018-2019,2018,Male,Non-urgent,3,0-19,Pediatric & Youth,142879,102.0,1.7,0
2018-2019,2018,Male,Unknown,3,0-19,Pediatric & Youth,10812,66.0,1.1,0
2018-2019,2018,Male,CTAS III - Urgent,3,20-44,Young Adult,831288,198.0,3.3,0
2018-2019,2018,Male,Less urgent,3,20-44,Young Adult,744876,138.0,2.3,0
2018-2019,2018,Male,Non-urgent,3,20-44,Young Adult,249218,108.0,1.8,0
2018-2019,2018,Male,Unknown,3,20-44,Young Adult,17515,72.0,1.2,0
2018-2019,2018,Male,CTAS III - Urgent,3,45-64,Middle Adult,702078,234.0,3.9,0
2018-2019,2018,Male,Less urgent,3,45-64,Middle Adult,533684,150.0,2.5,0
2018-2019,2018,Male,Non-urgent,3,45-64,Middle Adult,200971,102.0,1.7,0
2018-2019,2018,Male,Unknown,3,45-64,Middle Adult,14173,72.0,1.2,0
2018-2019,2018,Male,CTAS III - Urgent,3,65+,Older Adult,715957,318.0,5.3,0
2018-2019,2018,Male,Less urgent,3,65+,Older Adult,402269,186.0,3.1,0
2018-2019,2018,Male,Non-urgent,3,65+,Older Adult,138068,108.0,1.8,0
2018-2019,2018,Male,Unknown,3,65+,Older Adult,10361,90.0,1.5,0
2017-2018,2017,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,5223,234.0,3.9,0
2017-2018,2017,Female,CTAS I - Resuscitation,1,20-44,Young Adult,7238,282.0,4.7,0
2017-2018,2017,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,8209,276.0,4.6,0
2017-2018,2017,Female,CTAS I - Resuscitation,1,65+,Older Adult,16605,354.0,5.9,0
2017-2018,2017,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,7283,228.0,3.8,0
2017-2018,2017,Male,CTAS I - Resuscitation,1,20-44,Young Adult,12800,276.0,4.6,0
