fiscal_year,fiscal_year_start,sex,visit_disposition,admission_flag,admission_status,age_group,population_category,ed_visits,median_los_minutes,median_los_hours,erbi,is_suppressed
2021-2022,2021,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,61448,450.0,7.5,27651600,0
2021-2022,2021,Female,Admitted,1,Admitted,20-44,Young Adult,135970,702.0,11.7,95450940,0
2021-2022,2021,Female,Admitted,1,Admitted,45-64,Middle Adult,154636,792.0,13.2,122471712,0
2021-2022,2021,Female,Admitted,1,Admitted,65+,Older Adult,423379,966.0,16.1,408984114,0
2021-2022,2021,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,61089,420.0,7.0,25657380,0
2021-2022,2021,Male,Admitted,1,Admitted,20-44,Young Adult,135841,720.0,12.0,97805520,0
2021-2022,2021,Male,Admitted,1,Admitted,45-64,Middle Adult,197560,762.0,12.7,150540720,0
2021-2022,2021,Male,Admitted,1,Admitted,65+,Older Adult,403171,906.0,15.1,365272926,0
2021-2022,2021,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,176,36.0,0.6,6336,0
2021-2022,2021,Female,Death,0,Not Admitted,20-44,Young Adult,452,42.0,0.7,18984,0
2021-2022,2021,Female,Death,0,Not Admitted,45-64,Middle Adult,1144,72.0,1.2,82368,0
2021-2022,2021,Female,Death,0,Not Admitted,65+,Older Adult,5141,150.0,2.5,771150,0
2021-2022,2021,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,268,42.0,0.7,11256,0
2021-2022,2021,Male,Death,0,Not Admitted,20-44,Young Adult,1209,36.0,0.6,43524,0
2021-2022,2021,Male,Death,0,Not Admitted,45-64,Middle Adult,2866,54.0,0.9,154764,0
2021-2022,2021,Male,Death,0,Not Admitted,65+,Older Adult,7162,108.0,1.8,773496,0
2021-2022,2021,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1111383,162.0,2.7,180044046,0
2021-2022,2021,Female,Discharged,0,Not Admitted,20-44,Young Adult,2099271,198.0,3.3,415655658,0
2021-2022,2021,Female,Discharged,0,Not Admitted,45-64,Middle Adult,1362105,204.0,3.4,277869420,0
2021-2022,2021,Female,Discharged,0,Not Admitted,65+,Older Adult,1197410,246.0,4.1,294562860,0
2021-2022,2021,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1164643,156.0,2.6,181684308,0
2021-2022,2021,Male,Discharged,0,Not Admitted,20-44,Young Adult,1734357,180.0,3.0,312184260,0
2021-2022,2021,Male,Discharged,0,Not Admitted,45-64,Middle Adult,1304242,198.0,3.3,258239916,0
2021-2022,2021,Male,Discharged,0,Not Admitted,65+,Older Adult,1061589,228.0,3.8,242042292,0
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,3093,186.0,3.1,575298,0
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,9761,210.0,3.5,2049810,0
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,4464,228.0,3.8,1017792,0
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,3733,222.0,3.7,828726,0
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,2982,168.0,2.8,500976,0
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,6273,252.0,4.2,1580796,0
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,4991,222.0,3.7,1108002,0
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,4100,234.0,3.9,959400,0
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,98886,150.0,2.5,14832900,0
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,213981,180.0,3.0,38516580,0
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,99494,180.0,3.0,17908920,0
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,62794,180.0,3.0,11302920,0
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,97707,144.0,2.4,14069808,0
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,205103,174.0,2.9,35687922,0
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,118919,180.0,3.0,21405420,0
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,65270,174.0,2.9,11356980,0
2021-2022,2021,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,18833,288.0,4.8,5423904,0
2021-2022,2021,Female,Transferred,0,Not Admitted,20-44,Young Adult,39251,330.0,5.5,12952830,0
2021-2022,2021,Female,Transferred,0,Not Admitted,45-64,Middle Adult,31707,360.0,6.0,11414520,0
2021-2022,2021,Female,Transferred,0,Not Admitted,65+,Older Adult,91621,384.0,6.4,35182464,0
2021-2022,2021,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,18728,246.0,4.1,4607088,0
2021-2022,2021,Male,Transferred,0,Not Admitted,20-44,Young Adult,45189,312.0,5.2,14098968,0
2021-2022,2021,Male,Transferred,0,Not Admitted,45-64,Middle Adult,44849,318.0,5.3,14261982,0
2021-2022,2021,Male,Transferred,0,Not Admitted,65+,Older Adult,73788,372.0,6.2,27449136,0
2020-2021,2020,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,48794,396.0,6.6,19322424,0
2020-2021,2020,Female,Admitted,1,Admitted,20-44,Young Adult,128370,588.0,9.8,75481560,0
2020-2021,2020,Female,Admitted,1,Admitted,45-64,Middle Adult,146117,648.0,10.8,94683816,0
2020-2021,2020,Female,Admitted,1,Admitted,65+,Older Adult,386091,750.0,12.5,289568250,0
2020-2021,2020,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,47148,366.0,6.1,17256168,0
2020-2021,2020,Male,Admitted,1,Admitted,20-44,Young Adult,129372,600.0,10.0,77623200,0
2020-2021,2020,Male,Admitted,1,Admitted,45-64,Middle Adult,188554,624.0,10.4,117657696,0
2020-2021,2020,Male,Admitted,1,Admitted,65+,Older Adult,370862,702.0,11.7,260345124,0
2020-2021,2020,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,170,36.0,0.6,6120,0
2020-2021,2020,Female,Death,0,Not Admitted,20-44,Young Adult,466,48.0,0.8,22368,0
2020-2021,2020,Female,Death,0,Not Admitted,45-64,Middle Adult,1197,78.0,1.3,93366,0
2020-2021,2020,Female,Death,0,Not Admitted,65+,Older Adult,5136,144.0,2.4,739584,0
2020-2021,2020,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,248,36.0,0.6,8928,0
2020-2021,2020,Male,Death,0,Not Admitted,20-44,Young Adult,1222,36.0,0.6,43992,0
2020-2021,2020,Male,Death,0,Not Admitted,45-64,Middle Adult,2907,48.0,0.8,139536,0
2020-2021,2020,Male,Death,0,Not Admitted,65+,Older Adult,6711,96.0,1.6,644256,0
2020-2021,2020,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,772044,132.0,2.2,101909808,0
2020-2021,2020,Female,Discharged,0,Not Admitted,20-44,Young Adult,1828993,168.0,2.8,307270824,0
2020-2021,2020,Female,Discharged,0,Not Admitted,45-64,Middle Adult,1207456,180.0,3.0,217342080,0
2020-2021,2020,Female,Discharged,0,Not Admitted,65+,Older Adult,1024550,222.0,3.7,227450100,0
2020-2021,2020,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,774918,126.0,2.1,97639668,0
2020-2021,2020,Male,Discharged,0,Not Admitted,20-44,Young Adult,1537683,150.0,2.5,230652450,0
2020-2021,2020,Male,Discharged,0,Not Admitted,45-64,Middle Adult,1201166,168.0,2.8,201795888,0
2020-2021,2020,Male,Discharged,0,Not Admitted,65+,Older Adult,937745,204.0,3.4,191299980,0
2020-2021,2020,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,2522,162.0,2.7,408564,0
2020-2021,2020,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,9187,198.0,3.3,1819026,0
2020-2021,2020,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,4202,204.0,3.4,857208,0
2020-2021,2020,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,3255,204.0,3.4,664020,0
2020-2021,2020,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,2560,156.0,2.6,399360,0
2020-2021,2020,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,6641,210.0,3.5,1394610,0
2020-2021,2020,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,4943,204.0,3.4,1008372,0
2020-2021,2020,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,3673,210.0,3.5,771330,0
2020-2021,2020,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,38354,120.0,2.0,4602480,0
2020-2021,2020,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,120738,144.0,2.4,17386272,0
2020-2021,2020,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,57032,144.0,2.4,8212608,0
2020-2021,2020,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,34137,150.0,2.5,5120550,0
2020-2021,2020,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,36034,114.0,1.9,4107876,0
2020-2021,2020,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,124550,138.0,2.3,17187900,0
2020-2021,2020,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,75767,144.0,2.4,10910448,0
2020-2021,2020,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,38440,144.0,2.4,5535360,0
2020-2021,2020,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,13778,258.0,4.3,3554724,0
2020-2021,2020,Female,Transferred,0,Not Admitted,20-44,Young Adult,34661,306.0,5.1,10606266,0
2020-2021,2020,Female,Transferred,0,Not Admitted,45-64,Middle Adult,28183,330.0,5.5,9300390,0
2020-2021,2020,Female,Transferred,0,Not Admitted,65+,Older Adult,76477,354.0,5.9,27072858,0
2020-2021,2020,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,13603,216.0,3.6,2938248,0
2020-2021,2020,Male,Transferred,0,Not Admitted,20-44,Young Adult,42349,276.0,4.6,11688324,0
2020-2021,2020,Male,Transferred,0,Not Admitted,45-64,Middle Adult,41139,288.0,4.8,11848032,0
2020-2021,2020,Male,Transferred,0,Not Admitted,65+,Older Adult,62299,342.0,5.7,21306258,0
2019-2020,2019,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,66051,414.0,6.9,27345114,0
2019-2020,2019,Female,Admitted,1,Admitted,20-44,Young Adult,133773,642.0,10.7,85882266,0
2019-2020,2019,Female,Admitted,1,Admitted,45-64,Middle Adult,160044,738.0,12.3,118112472,0
2019-2020,2019,Female,Admitted,1,Admitted,65+,Older Adult,432773,900.0,15.0,389495700,0
2019-2020,2019,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,71300,390.0,6.5,27807000,0
2019-2020,2019,Male,Admitted,1,Admitted,20-44,Young Adult,128671,660.0,11.0,84922860,0
2019-2020,2019,Male,Admitted,1,Admitted,45-64,Middle Adult,197340,708.0,11.8,139716720,0
2019-2020,2019,Male,Admitted,1,Admitted,65+,Older Adult,401907,834.0,13.9,335190438,0
2019-2020,2019,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,166,36.0,0.6,5976,0
2019-2020,2019,Female,Death,0,Not Admitted,20-44,Young Adult,413,36.0,0.6,14868,0
2019-2020,2019,Female,Death,0,Not Admitted,45-64,Middle Adult,1097,60.0,1.0,65820,0
2019-2020,2019,Female,Death,0,Not Admitted,65+,Older Adult,4849,132.0,2.2,640068,0
2019-2020,2019,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,234,36.0,0.6,8424,0
2019-2020,2019,Male,Death,0,Not Admitted,20-44,Young Adult,1057,36.0,0.6,38052,0
2019-2020,2019,Male,Death,0,Not Admitted,45-64,Middle Adult,2694,48.0,0.8,129312,0
2019-2020,2019,Male,Death,0,Not Admitted,65+,Older Adult,6321,84.0,1.4,530964,0
2019-2020,2019,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1291223,150.0,2.5,193683450,0
2019-2020,2019,Female,Discharged,0,Not Admitted,20-44,Young Adult,2191882,186.0,3.1,407690052,0
2019-2020,2019,Female,Discharged,0,Not Admitted,45-64,Middle Adult,1461599,192.0,3.2,280627008,0
2019-2020,2019,Female,Discharged,0,Not Admitted,65+,Older Adult,1260505,240.0,4.0,302521200,0
2019-2020,2019,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1366492,144.0,2.4,196774848,0
2019-2020,2019,Male,Discharged,0,Not Admitted,20-44,Young Adult,1782990,168.0,2.8,299542320,0
2019-2020,2019,Male,Discharged,0,Not Admitted,45-64,Middle Adult,1390032,186.0,3.1,258545952,0
2019-2020,2019,Male,Discharged,0,Not Admitted,65+,Older Adult,1095817,222.0,3.7,243271374,0
2019-2020,2019,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,25544,36.0,0.6,919584,0
2019-2020,2019,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,50796,36.0,0.6,1828656,0
2019-2020,2019,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,27452,36.0,0.6,988272,0
2019-2020,2019,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,19490,48.0,0.8,935520,0
2019-2020,2019,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,25485,36.0,0.6,917460,0
2019-2020,2019,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,41222,36.0,0.6,1483992,0
2019-2020,2019,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,27741,36.0,0.6,998676,0
2019-2020,2019,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,17030,48.0,0.8,817440,0
2019-2020,2019,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,109094,144.0,2.4,15709536,0
2019-2020,2019,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,209324,168.0,2.8,35166432,0
2019-2020,2019,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,100900,162.0,2.7,16345800,0
2019-2020,2019,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,65208,168.0,2.8,10954944,0
2019-2020,2019,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,111102,138.0,2.3,15332076,0
2019-2020,2019,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,197719,162.0,2.7,32030478,0
2019-2020,2019,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,119048,168.0,2.8,20000064,0
2019-2020,2019,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,64279,162.0,2.7,10413198,0
2019-2020,2019,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,18073,258.0,4.3,4662834,0
2019-2020,2019,Female,Transferred,0,Not Admitted,20-44,Young Adult,37467,294.0,4.9,11015298,0
2019-2020,2019,Female,Transferred,0,Not Admitted,45-64,Middle Adult,31341,318.0,5.3,9966438,0
2019-2020,2019,Female,Transferred,0,Not Admitted,65+,Older Adult,94554,336.0,5.6,31770144,0
2019-2020,2019,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,19787,228.0,3.8,4511436,0
2019-2020,2019,Male,Transferred,0,Not Admitted,20-44,Young Adult,44468,270.0,4.5,12006360,0
2019-2020,2019,Male,Transferred,0,Not Admitted,45-64,Middle Adult,44304,282.0,4.7,12493728,0
2019-2020,2019,Male,Transferred,0,Not Admitted,65+,Older Adult,72441,324.0,5.4,23470884,0
2018-2019,2018,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,67928,402.0,6.7,27307056,0
2018-2019,2018,Female,Admitted,1,Admitted,20-44,Young Adult,135711,624.0,10.4,84683664,0
2018-2019,2018,Female,Admitted,1,Admitted,45-64,Middle Adult,163994,726.0,12.1,119059644,0
2018-2019,2018,Female,Admitted,1,Admitted,65+,Older Adult,434587,870.0,14.5,378090690,0
2018-2019,2018,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,72674,378.0,6.3,27470772,0
2018-2019,2018,Male,Admitted,1,Admitted,20-44,Young Adult,129148,636.0,10.6,82138128,0
2018-2019,2018,Male,Admitted,1,Admitted,45-64,Middle Adult,201081,690.0,11.5,138745890,0
2018-2019,2018,Male,Admitted,1,Admitted,65+,Older Adult,397652,810.0,13.5,322098120,0
2018-2019,2018,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,200,36.0,0.6,7200,0
2018-2019,2018,Female,Death,0,Not Admitted,20-44,Young Adult,403,36.0,0.6,14508,0
2018-2019,2018,Female,Death,0,Not Admitted,45-64,Middle Adult,1158,60.0,1.0,69480,0
2018-2019,2018,Female,Death,0,Not Admitted,65+,Older Adult,4749,126.0,2.1,598374,0
2018-2019,2018,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,276,30.0,0.5,8280,0
2018-2019,2018,Male,Death,0,Not Admitted,20-44,Young Adult,1105,30.0,0.5,33150,0
2018-2019,2018,Male,Death,0,Not Admitted,45-64,Middle Adult,2813,42.0,0.7,118146,0
2018-2019,2018,Male,Death,0,Not Admitted,65+,Older Adult,6163,78.0,1.3,480714,0
2018-2019,2018,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1322198,144.0,2.4,190396512,0
2018-2019,2018,Female,Discharged,0,Not Admitted,20-44,Young Adult,2206226,180.0,3.0,397120680,0
2018-2019,2018,Female,Discharged,0,Not Admitted,45-64,Middle Adult,1500252,186.0,3.1,279046872,0
2018-2019,2018,Female,Discharged,0,Not Admitted,65+,Older Adult,1261817,234.0,3.9,295265178,0
2018-2019,2018,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1382791,138.0,2.3,190825158,0
2018-2019,2018,Male,Discharged,0,Not Admitted,20-44,Young Adult,1792331,162.0,2.7,290357622,0
2018-2019,2018,Male,Discharged,0,Not Admitted,45-64,Middle Adult,1419611,180.0,3.0,255529980,0
2018-2019,2018,Male,Discharged,0,Not Admitted,65+,Older Adult,1083472,216.0,3.6,234029952,0
2018-2019,2018,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,22149,42.0,0.7,930258,0
2018-2019,2018,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,45499,42.0,0.7,1910958,0
2018-2019,2018,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,25067,42.0,0.7,1052814,0
2018-2019,2018,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,17309,54.0,0.9,934686,0
2018-2019,2018,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,21764,42.0,0.7,914088,0
2018-2019,2018,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,36688,36.0,0.6,1320768,0
2018-2019,2018,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,24906,42.0,0.7,1046052,0
2018-2019,2018,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,15414,54.0,0.9,832356,0
2018-2019,2018,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,102876,138.0,2.3,14196888,0
2018-2019,2018,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,197698,162.0,2.7,32027076,0
2018-2019,2018,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,97703,162.0,2.7,15827886,0
2018-2019,2018,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,61198,162.0,2.7,9914076,0
2018-2019,2018,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,103760,132.0,2.2,13696320,0
2018-2019,2018,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,184207,156.0,2.6,28736292,0
2018-2019,2018,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,115550,156.0,2.6,18025800,0
2018-2019,2018,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,59839,150.0,2.5,8975850,0
2018-2019,2018,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,18307,252.0,4.2,4613364,0
2018-2019,2018,Female,Transferred,0,Not Admitted,20-44,Young Adult,37306,288.0,4.8,10744128,0
2018-2019,2018,Female,Transferred,0,Not Admitted,45-64,Middle Adult,30923,318.0,5.3,9833514,0
2018-2019,2018,Female,Transferred,0,Not Admitted,65+,Older Adult,94096,330.0,5.5,31051680,0
2018-2019,2018,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,19715,228.0,3.8,4495020,0
2018-2019,2018,Male,Transferred,0,Not Admitted,20-44,Young Adult,43911,264.0,4.4,11592504,0
2018-2019,2018,Male,Transferred,0,Not Admitted,45-64,Middle Adult,45398,276.0,4.6,12529848,0
2018-2019,2018,Male,Transferred,0,Not Admitted,65+,Older Adult,70719,318.0,5.3,22488642,0
2017-2018,2017,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,50181,402.0,6.7,20172762,0
2017-2018,2017,Female,Admitted,1,Admitted,20-44,Young Adult,102664,582.0,9.7,59750448,0
2017-2018,2017,Female,Admitted,1,Admitted,45-64,Middle Adult,119615,660.0,11.0,78945900,0
2017-2018,2017,Female,Admitted,1,Admitted,65+,Older Adult,298101,738.0,12.3,219998538,0
2017-2018,2017,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,53255,378.0,6.3,20130390,0
2017-2018,2017,Male,Admitted,1,Admitted,20-44,Young Adult,97315,594.0,9.9,57805110,0
2017-2018,2017,Male,Admitted,1,Admitted,45-64,Middle Adult,148484,636.0,10.6,94435824,0
2017-2018,2017,Male,Admitted,1,Admitted,65+,Older Adult,275639,708.0,11.8,195152412,0
2017-2018,2017,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,124,42.0,0.7,5208,0
2017-2018,2017,Female,Death,0,Not Admitted,20-44,Young Adult,268,36.0,0.6,9648,0
2017-2018,2017,Female,Death,0,Not Admitted,45-64,Middle Adult,619,60.0,1.0,37140,0
2017-2018,2017,Female,Death,0,Not Admitted,65+,Older Adult,2502,138.0,2.3,345276,0
2017-2018,2017,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,195,36.0,0.6,7020,0
2017-2018,2017,Male,Death,0,Not Admitted,20-44,Young Adult,661,30.0,0.5,19830,0
2017-2018,2017,Male,Death,0,Not Admitted,45-64,Middle Adult,1504,30.0,0.5,45120,0
2017-2018,2017,Male,Death,0,Not Admitted,65+,Older Adult,3345,84.0,1.4,280980,0
2017-2018,2017,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1090851,132.0,2.2,143992332,0
2017-2018,2017,Female,Discharged,0,Not Admitted,20-44,Young Adult,1765199,162.0,2.7,285962238,0
2017-2018,2017,Female,Discharged,0,Not Admitted,45-64,Middle Adult,1181522,168.0,2.8,198495696,0
2017-2018,2017,Female,Discharged,0,Not Admitted,65+,Older Adult,980491,204.0,3.4,200020164,0
2017-2018,2017,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1164345,126.0,2.1,146707470,0
2017-2018,2017,Male,Discharged,0,Not Admitted,20-44,Young Adult,1440025,144.0,2.4,207363600,0
2017-2018,2017,Male,Discharged,0,Not Admitted,45-64,Middle Adult,1119438,162.0,2.7,181348956,0
2017-2018,2017,Male,Discharged,0,Not Admitted,65+,Older Adult,831153,192.0,3.2,159581376,0
2017-2018,2017,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,3784,180.0,3.0,681120,0
2017-2018,2017,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,9449,198.0,3.3,1870902,0
2017-2018,2017,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,4405,216.0,3.6,951480,0
2017-2018,2017,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,3394,222.0,3.7,753468,0
2017-2018,2017,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,3936,168.0,2.8,661248,0
2017-2018,2017,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,6328,228.0,3.8,1442784,0
2017-2018,2017,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,4847,210.0,3.5,1017870,0
2017-2018,2017,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,3596,222.0,3.7,798312,0
2017-2018,2017,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,57219,120.0,2.0,6866280,0
2017-2018,2017,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,119158,138.0,2.3,16443804,0
2017-2018,2017,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,53871,138.0,2.3,7434198,0
2017-2018,2017,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,28175,144.0,2.4,4057200,0
2017-2018,2017,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,57657,114.0,1.9,6572898,0
2017-2018,2017,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,113812,132.0,2.2,15023184,0
2017-2018,2017,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,66890,138.0,2.3,9230820,0
2017-2018,2017,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,28173,138.0,2.3,3887874,0
2017-2018,2017,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,11773,240.0,4.0,2825520,0
2017-2018,2017,Female,Transferred,0,Not Admitted,20-44,Young Adult,19435,252.0,4.2,4897620,0
2017-2018,2017,Female,Transferred,0,Not Admitted,45-64,Middle Adult,15769,276.0,4.6,4352244,0
2017-2018,2017,Female,Transferred,0,Not Admitted,65+,Older Adult,22557,300.0,5.0,6767100,0
2017-2018,2017,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,13301,216.0,3.6,2873016,0
2017-2018,2017,Male,Transferred,0,Not Admitted,20-44,Young Adult,18524,258.0,4.3,4779192,0
2017-2018,2017,Male,Transferred,0,Not Admitted,45-64,Middle Adult,22007,240.0,4.0,5281680,0
2017-2018,2017,Male,Transferred,0,Not Admitted,65+,Older Adult,24021,276.0,4.6,6629796,0
2016-2017,2016,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,49399,390.0,6.5,19265610,0
2016-2017,2016,Female,Admitted,1,Admitted,20-44,Young Adult,99704,564.0,9.4,56233056,0
2016-2017,2016,Female,Admitted,1,Admitted,45-64,Middle Adult,119083,648.0,10.8,77165784,0
2016-2017,2016,Female,Admitted,1,Admitted,65+,Older Adult,291311,726.0,12.1,211491786,0
2016-2017,2016,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,52003,366.0,6.1,19033098,0
2016-2017,2016,Male,Admitted,1,Admitted,20-44,Young Adult,93615,570.0,9.5,53360550,0
2016-2017,2016,Male,Admitted,1,Admitted,45-64,Middle Adult,145181,624.0,10.4,90592944,0
2016-2017,2016,Male,Admitted,1,Admitted,65+,Older Adult,267147,702.0,11.7,187537194,0
2016-2017,2016,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,141,30.0,0.5,4230,0
2016-2017,2016,Female,Death,0,Not Admitted,20-44,Young Adult,255,51.0,0.85,13005,0
2016-2017,2016,Female,Death,0,Not Admitted,45-64,Middle Adult,606,72.0,1.2,43632,0
2016-2017,2016,Female,Death,0,Not Admitted,65+,Older Adult,2401,126.0,2.1,302526,0
2016-2017,2016,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,173,36.0,0.6,6228,0
