fiscal_year,fiscal_year_start,sex,triage_level,ctas_urgency_score,age_group,population_category,ed_visits,median_los_minutes,median_los_hours
2019-2020,2019,Female,Non-urgent,3,65+,Older Adult,139200,126,2.1
2019-2020,2019,Female,Unknown,3,65+,Older Adult,9491,108,1.8
2019-2020,2019,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,652389,156,2.6
2019-2020,2019,Male,Less urgent,3,0-19,Pediatric & Youth,530323,126,2.1
2019-2020,2019,Male,Non-urgent,3,0-19,Pediatric & Youth,145540,108,1.8
2019-2020,2019,Male,Unknown,3,0-19,Pediatric & Youth,10002,72,1.2
2019-2020,2019,Male,CTAS III - Urgent,3,20-44,Young Adult,860430,198,3.3
2019-2020,2019,Male,Less urgent,3,20-44,Young Adult,702659,144,2.4
2019-2020,2019,Male,Non-urgent,3,20-44,Young Adult,256815,114,1.9
2019-2020,2019,Male,Unknown,3,20-44,Young Adult,17632,78,1.3
2019-2020,2019,Male,CTAS III - Urgent,3,45-64,Middle Adult,707475,234,3.9
2019-2020,2019,Male,Less urgent,3,45-64,Middle Adult,497871,156,2.6
2019-2020,2019,Male,Non-urgent,3,45-64,Middle Adult,198870,108,1.8
2019-2020,2019,Male,Unknown,3,45-64,Middle Adult,13753,72,1.2
2019-2020,2019,Male,CTAS III - Urgent,3,65+,Older Adult,740098,318,5.3
2019-2020,2019,Male,Less urgent,3,65+,Older Adult,385561,198,3.3
2019-2020,2019,Male,Non-urgent,3,65+,Older Adult,142822,114,1.9
2019-2020,2019,Male,Unknown,3,65+,Older Adult,10324,90,1.5
2018-2019,2018,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,9189,222,3.7
2018-2019,2018,Female,CTAS I - Resuscitation,1,20-44,Young Adult,10132,300,5.0
2018-2019,2018,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,11694,294,4.9
2018-2019,2018,Female,CTAS I - Resuscitation,1,65+,Older Adult,25354,390,6.5
2018-2019,2018,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,11356,216,3.6
2018-2019,2018,Male,CTAS I - Resuscitation,1,20-44,Young Adult,16943,288,4.8
2018-2019,2018,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,19698,258,4.3
2018-2019,2018,Male,CTAS I - Resuscitation,1,65+,Older Adult,28229,324,5.4
2018-2019,2018,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,209280,204,3.4
2018-2019,2018,Female,CTAS II - Emergent,2,20-44,Young Adult,374911,264,4.4
2018-2019,2018,Female,CTAS II - Emergent,2,45-64,Middle Adult,312477,294,4.9
2018-2019,2018,Female,CTAS II - Emergent,2,65+,Older Adult,355483,396,6.6
2018-2019,2018,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,229117,192,3.2
2018-2019,2018,Male,CTAS II - Emergent,2,20-44,Young Adult,327550,258,4.3
2018-2019,2018,Male,CTAS II - Emergent,2,45-64,Middle Adult,338755,306,5.1
2018-2019,2018,Male,CTAS II - Emergent,2,65+,Older Adult,338375,396,6.6
2018-2019,2018,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,617614,162,2.7
2018-2019,2018,Female,Less urgent,3,0-19,Pediatric & Youth,545974,126,2.1
2018-2019,2018,Female,Non-urgent,3,0-19,Pediatric & Youth,141285,108,1.8
2018-2019,2018,Female,Unknown,3,0-19,Pediatric & Youth,10316,72,1.2
2018-2019,2018,Female,CTAS III - Urgent,3,20-44,Young Adult,1141425,210,3.5
2018-2019,2018,Female,Less urgent,3,20-44,Young Adult,820381,144,2.4
2018-2019,2018,Female,Non-urgent,3,20-44,Young Adult,255325,108,1.8
2018-2019,2018,Female,Unknown,3,20-44,Young Adult,20669,72,1.2
2018-2019,2018,Female,CTAS III - Urgent,3,45-64,Middle Adult,757050,234,3.9
2018-2019,2018,Female,Less urgent,3,45-64,Middle Adult,544374,150,2.5
2018-2019,2018,Female,Non-urgent,3,45-64,Middle Adult,181073,108,1.8
2018-2019,2018,Female,Unknown,3,45-64,Middle Adult,12429,78,1.3
2018-2019,2018,Female,CTAS III - Urgent,3,65+,Older Adult,866993,324,5.4
2018-2019,2018,Female,Less urgent,3,65+,Older Adult,479225,210,3.5
2018-2019,2018,Female,Non-urgent,3,65+,Older Adult,137089,126,2.1
2018-2019,2018,Female,Unknown,3,65+,Older Adult,9612,102,1.7
2018-2019,2018,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,636798,156,2.6
2018-2019,2018,Male,Less urgent,3,0-19,Pediatric & Youth,570018,120,2.0
2018-2019,2018,Male,Non-urgent,3,0-19,Pediatric & Youth,142879,102,1.7
2018-2019,2018,Male,Unknown,3,0-19,Pediatric & Youth,10812,66,1.1
2018-2019,2018,Male,CTAS III - Urgent,3,20-44,Young Adult,831288,198,3.3
2018-2019,2018,Male,Less urgent,3,20-44,Young Adult,744876,138,2.3
2018-2019,2018,Male,Non-urgent,3,20-44,Young Adult,249218,108,1.8
2018-2019,2018,Male,Unknown,3,20-44,Young Adult,17515,72,1.2
2018-2019,2018,Male,CTAS III - Urgent,3,45-64,Middle Adult,702078,234,3.9
2018-2019,2018,Male,Less urgent,3,45-64,Middle Adult,533684,150,2.5
2018-2019,2018,Male,Non-urgent,3,45-64,Middle Adult,200971,102,1.7
2018-2019,2018,Male,Unknown,3,45-64,Middle Adult,14173,72,1.2
2018-2019,2018,Male,CTAS III - Urgent,3,65+,Older Adult,715957,318,5.3
2018-2019,2018,Male,Less urgent,3,65+,Older Adult,402269,186,3.1
2018-2019,2018,Male,Non-urgent,3,65+,Older Adult,138068,108,1.8
2018-2019,2018,Male,Unknown,3,65+,Older Adult,10361,90,1.5
2017-2018,2017,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,5223,234,3.9
2017-2018,2017,Female,CTAS I - Resuscitation,1,20-44,Young Adult,7238,282,4.7
2017-2018,2017,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,8209,276,4.6
2017-2018,2017,Female,CTAS I - Resuscitation,1,65+,Older Adult,16605,354,5.9
2017-2018,2017,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,7283,228,3.8
2017-2018,2017,Male,CTAS I - Resuscitation,1,20-44,Young Adult,12800,276,4.6
2017-2018,2017,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,14280,258,4.3
2017-2018,2017,Male,CTAS I - Resuscitation,1,65+,Older Adult,19022,300,5.0
2017-2018,2017,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,164301,198,3.3
2017-2018,2017,Female,CTAS II - Emergent,2,20-44,Young Adult,297375,252,4.2
2017-2018,2017,Female,CTAS II - Emergent,2,45-64,Middle Adult,255749,282,4.7
2017-2018,2017,Female,CTAS II - Emergent,2,65+,Older Adult,292722,372,6.2
2017-2018,2017,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,183354,186,3.1
2017-2018,2017,Male,CTAS II - Emergent,2,20-44,Young Adult,266575,246,4.1
2017-2018,2017,Male,CTAS II - Emergent,2,45-64,Middle Adult,280439,294,4.9
2017-2018,2017,Male,CTAS II - Emergent,2,65+,Older Adult,277869,378,6.3
2017-2018,2017,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,507748,150,2.5
2017-2018,2017,Female,Less urgent,3,0-19,Pediatric & Youth,457659,108,1.8
2017-2018,2017,Female,Non-urgent,3,0-19,Pediatric & Youth,68269,90,1.5
2017-2018,2017,Female,Unknown,3,0-19,Pediatric & Youth,10732,66,1.1
2017-2018,2017,Female,CTAS III - Urgent,3,20-44,Young Adult,940305,192,3.2
2017-2018,2017,Female,Less urgent,3,20-44,Young Adult,627585,120,2.0
2017-2018,2017,Female,Non-urgent,3,20-44,Young Adult,123999,96,1.6
2017-2018,2017,Female,Unknown,3,20-44,Young Adult,19671,78,1.3
2017-2018,2017,Female,CTAS III - Urgent,3,45-64,Middle Adult,612925,210,3.5
2017-2018,2017,Female,Less urgent,3,45-64,Middle Adult,404675,120,2.0
2017-2018,2017,Female,Non-urgent,3,45-64,Middle Adult,82379,90,1.5
2017-2018,2017,Female,Unknown,3,45-64,Middle Adult,11864,78,1.3
2017-2018,2017,Female,CTAS III - Urgent,3,65+,Older Adult,658426,282,4.7
2017-2018,2017,Female,Less urgent,3,65+,Older Adult,298338,144,2.4
2017-2018,2017,Female,Non-urgent,3,65+,Older Adult,59768,96,1.6
2017-2018,2017,Female,Unknown,3,65+,Older Adult,9361,108,1.8
2017-2018,2017,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,526835,144,2.4
