fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag,erbi
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Acute Myocardial Infarction,Admitted,1360,93,1.55,1,126480
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Asthma,Admitted,822,456,7.6,1,374832
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Influenzal Pneumonia,Admitted,0,0,0.0,1,0
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Motor Vehicle Collisions,Admitted,3032,324,5.4,1,982368
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Pneumonia,Admitted,1656,561,9.35,1,929016
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Trauma,Admitted,8476,348,5.8,1,2949648
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Unintentional Falls,Admitted,2393,456,7.6,1,1091208
2021-2022,2021,CTAS I - Resuscitation,1,Death,Acute Myocardial Infarction,Not Admitted,365,36,0.6,0,13140
2021-2022,2021,CTAS I - Resuscitation,1,Death,Asthma,Not Admitted,0,18,0.3,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Death,Influenzal Pneumonia,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Death,Motor Vehicle Collisions,Not Admitted,195,30,0.5,0,5850
2021-2022,2021,CTAS I - Resuscitation,1,Death,Pneumonia,Not Admitted,32,324,5.4,0,10368
2021-2022,2021,CTAS I - Resuscitation,1,Death,Trauma,Not Admitted,683,60,1.0,0,40980
2021-2022,2021,CTAS I - Resuscitation,1,Death,Unintentional Falls,Not Admitted,120,201,3.35,0,24120
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Acute Myocardial Infarction,Not Admitted,7,36,0.6,0,252
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Asthma,Not Admitted,813,252,4.2,0,204876
