fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag
2016-2017,2016,Non-urgent,3,Discharged Home,Trauma,Not Admitted,77172,90,1.5,0
2016-2017,2016,Unknown,3,Discharged Home,Trauma,Not Admitted,10337,72,1.2,0
2016-2017,2016,CTAS III - Urgent,3,Discharged Home,Unintentional Falls,Not Admitted,256035,156,2.6,0
2016-2017,2016,Less urgent,3,Discharged Home,Unintentional Falls,Not Admitted,250805,120,2.0,0
2016-2017,2016,Non-urgent,3,Discharged Home,Unintentional Falls,Not Admitted,14537,108,1.8,0
2016-2017,2016,Unknown,3,Discharged Home,Unintentional Falls,Not Admitted,2572,78,1.3,0
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,138,2.3,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Any,Not Admitted,17133,222,3.7,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Any,Not Admitted,6995,162,2.7,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Any,Not Admitted,1347,102,1.7,0
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Any,Not Admitted,134,48,0.8,0
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,29,204,3.4,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,18,0.3,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,119,201,3.35,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,62,210,3.5,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,6,81,1.35,0
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,0,252,4.2,0
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,63,240,4.0,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,5,252,4.2,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,2388,198,3.3,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,1027,156,2.6,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,178,120,2.0,0
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Trauma,Not Admitted,16,90,1.5,0
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,652,210,3.5,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,316,168,2.8,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,43,120,2.0,0
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,8,120,2.0,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,41,288,4.8,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,126,2.1,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,378,6.3,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,252,4.2,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Any,Not Admitted,205014,138,2.3,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Any,Not Admitted,157654,120,2.0,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Any,Not Admitted,37580,102,1.7,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Any,Not Admitted,25498,36,0.6,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Asthma,Not Admitted,275,141,2.35,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Asthma,Not Admitted,97,123,2.05,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Asthma,Not Admitted,19,120,2.0,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Asthma,Not Admitted,7,84,1.4,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,90,1.5,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,1887,138,2.3,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,1282,120,2.0,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,110,96,1.6,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,37,75,1.25,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,186,240,4.0,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,64,144,2.4,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,18,150,2.5,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Pneumonia,Not Admitted,10,30,0.5,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Trauma,Not Admitted,20318,132,2.2,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Trauma,Not Admitted,26582,114,1.9,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Trauma,Not Admitted,3557,96,1.6,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Trauma,Not Admitted,1080,42,0.7,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,5729,138,2.3,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,5913,120,2.0,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,486,108,1.8,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Unintentional Falls,Not Admitted,121,48,0.8,0
2016-2017,2016,CTAS III - Urgent,3,Total,Acute Myocardial Infarction,Not Admitted,5537,474,7.9,0
2016-2017,2016,Less urgent,3,Total,Acute Myocardial Infarction,Not Admitted,496,402,6.7,0
2016-2017,2016,Non-urgent,3,Total,Acute Myocardial Infarction,Not Admitted,67,348,5.8,0
2016-2017,2016,Unknown,3,Total,Acute Myocardial Infarction,Not Admitted,165,168,2.8,0
2016-2017,2016,CTAS III - Urgent,3,Total,Any,Not Admitted,4860294,192,3.2,0
2016-2017,2016,Less urgent,3,Total,Any,Not Admitted,3561446,114,1.9,0
2016-2017,2016,Non-urgent,3,Total,Any,Not Admitted,636950,84,1.4,0
2016-2017,2016,Unknown,3,Total,Any,Not Admitted,104206,72,1.2,0
2016-2017,2016,CTAS III - Urgent,3,Total,Asthma,Not Admitted,29158,168,2.8,0
2016-2017,2016,Less urgent,3,Total,Asthma,Not Admitted,12145,114,1.9,0
2016-2017,2016,Non-urgent,3,Total,Asthma,Not Admitted,1374,84,1.4,0
2016-2017,2016,Unknown,3,Total,Asthma,Not Admitted,339,84,1.4,0
2016-2017,2016,CTAS III - Urgent,3,Total,Influenzal Pneumonia,Not Admitted,253,276,4.6,0
2016-2017,2016,Less urgent,3,Total,Influenzal Pneumonia,Not Admitted,95,132,2.2,0
2016-2017,2016,Non-urgent,3,Total,Influenzal Pneumonia,Not Admitted,9,90,1.5,0
2016-2017,2016,Unknown,3,Total,Influenzal Pneumonia,Not Admitted,0,195,3.25,0
2016-2017,2016,CTAS III - Urgent,3,Total,Motor Vehicle Collisions,Not Admitted,76362,150,2.5,0
2016-2017,2016,Less urgent,3,Total,Motor Vehicle Collisions,Not Admitted,47944,120,2.0,0
2016-2017,2016,Non-urgent,3,Total,Motor Vehicle Collisions,Not Admitted,3097,102,1.7,0
2016-2017,2016,Unknown,3,Total,Motor Vehicle Collisions,Not Admitted,998,102,1.7,0
2016-2017,2016,CTAS III - Urgent,3,Total,Pneumonia,Not Admitted,59495,228,3.8,0
2016-2017,2016,Less urgent,3,Total,Pneumonia,Not Admitted,22766,132,2.2,0
2016-2017,2016,Non-urgent,3,Total,Pneumonia,Not Admitted,1823,120,2.0,0
2016-2017,2016,Unknown,3,Total,Pneumonia,Not Admitted,633,138,2.3,0
2016-2017,2016,CTAS III - Urgent,3,Total,Trauma,Not Admitted,762222,144,2.4,0
2016-2017,2016,Less urgent,3,Total,Trauma,Not Admitted,918556,108,1.8,0
2016-2017,2016,Non-urgent,3,Total,Trauma,Not Admitted,81732,96,1.6,0
2016-2017,2016,Unknown,3,Total,Trauma,Not Admitted,12049,72,1.2,0
2016-2017,2016,CTAS III - Urgent,3,Total,Unintentional Falls,Not Admitted,299557,174,2.9,0
2016-2017,2016,Less urgent,3,Total,Unintentional Falls,Not Admitted,263325,120,2.0,0
2016-2017,2016,Non-urgent,3,Total,Unintentional Falls,Not Admitted,15478,108,1.8,0
2016-2017,2016,Unknown,3,Total,Unintentional Falls,Not Admitted,2976,90,1.5,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,1006,216,3.6,0
2016-2017,2016,Less urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,115,312,5.2,0
2016-2017,2016,Non-urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,17,246,4.1,0
2016-2017,2016,Unknown,3,Transferred,Acute Myocardial Infarction,Not Admitted,62,150,2.5,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Any,Not Admitted,58927,276,4.6,0
2016-2017,2016,Less urgent,3,Transferred,Any,Not Admitted,14508,228,3.8,0
2016-2017,2016,Non-urgent,3,Transferred,Any,Not Admitted,2149,180,3.0,0
2016-2017,2016,Unknown,3,Transferred,Any,Not Admitted,1316,162,2.7,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Asthma,Not Admitted,150,318,5.3,0
2016-2017,2016,Less urgent,3,Transferred,Asthma,Not Admitted,17,282,4.7,0
2016-2017,2016,Non-urgent,3,Transferred,Asthma,Not Admitted,0,183,3.05,0
2016-2017,2016,Unknown,3,Transferred,Asthma,Not Admitted,0,363,6.05,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,6,363,6.05,0
2016-2017,2016,Less urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Non-urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,1144,222,3.7,0
2016-2017,2016,Less urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,229,204,3.4,0
2016-2017,2016,Non-urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,15,156,2.6,0
2016-2017,2016,Unknown,3,Transferred,Motor Vehicle Collisions,Not Admitted,95,156,2.6,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Pneumonia,Not Admitted,856,318,5.3,0
2016-2017,2016,Less urgent,3,Transferred,Pneumonia,Not Admitted,120,306,5.1,0
2016-2017,2016,Non-urgent,3,Transferred,Pneumonia,Not Admitted,9,372,6.2,0
2016-2017,2016,Unknown,3,Transferred,Pneumonia,Not Admitted,12,207,3.45,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Trauma,Not Admitted,10321,234,3.9,0
2016-2017,2016,Less urgent,3,Transferred,Trauma,Not Admitted,2840,210,3.5,0
2016-2017,2016,Non-urgent,3,Transferred,Trauma,Not Admitted,239,174,2.9,0
2016-2017,2016,Unknown,3,Transferred,Trauma,Not Admitted,284,162,2.7,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Unintentional Falls,Not Admitted,6088,264,4.4,0
2016-2017,2016,Less urgent,3,Transferred,Unintentional Falls,Not Admitted,1440,240,4.0,0
2016-2017,2016,Non-urgent,3,Transferred,Unintentional Falls,Not Admitted,88,267,4.45,0
2016-2017,2016,Unknown,3,Transferred,Unintentional Falls,Not Admitted,83,195,3.25,0
2016-2017,2016,CTAS III - Urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2016-2017,2016,Less urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2016-2017,2016,Non-urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Unknown,Any,Not Admitted,0,0,0.0,0
2016-2017,2016,Less urgent,3,Unknown,Any,Not Admitted,0,0,0.0,0
2016-2017,2016,Non-urgent,3,Unknown,Any,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Unknown,Any,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2016-2017,2016,Less urgent,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2016-2017,2016,Non-urgent,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Less urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Non-urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2016-2017,2016,Less urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2016-2017,2016,Non-urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Less urgent,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Non-urgent,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2016-2017,2016,Less urgent,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2016-2017,2016,Non-urgent,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2016-2017,2016,CTAS III - Urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2016-2017,2016,Less urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2016-2017,2016,Non-urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2016-2017,2016,Unknown,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Acute Myocardial Infarction,Admitted,1256,84,1.4,1
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Any,Admitted,47643,360,6.0,1
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Asthma,Admitted,539,408,6.8,1
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Influenzal Pneumonia,Admitted,5,330,5.5,1
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Motor Vehicle Collisions,Admitted,2630,276,4.6,1
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Pneumonia,Admitted,1522,516,8.6,1
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Trauma,Admitted,6542,270,4.5,1
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Unintentional Falls,Admitted,1681,324,5.4,1
2015-2016,2015,CTAS I - Resuscitation,1,Death,Acute Myocardial Infarction,Not Admitted,367,36,0.6,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Any,Not Admitted,6359,36,0.6,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Asthma,Not Admitted,0,90,1.5,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Motor Vehicle Collisions,Not Admitted,190,36,0.6,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Pneumonia,Not Admitted,38,183,3.05,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Trauma,Not Admitted,561,42,0.7,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Unintentional Falls,Not Admitted,91,132,2.2,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Acute Myocardial Infarction,Not Admitted,27,78,1.3,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Any,Not Admitted,20134,264,4.4,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Asthma,Not Admitted,383,228,3.8,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Motor Vehicle Collisions,Not Admitted,713,276,4.6,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Pneumonia,Not Admitted,213,225,3.75,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Trauma,Not Admitted,3677,252,4.2,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Unintentional Falls,Not Admitted,596,270,4.5,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,14,48,0.8,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Any,Not Admitted,387,240,4.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Asthma,Not Admitted,0,207,3.45,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,10,309,5.15,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Pneumonia,Not Admitted,0,228,3.8,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Trauma,Not Admitted,65,210,3.5,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Unintentional Falls,Not Admitted,7,384,6.4,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,132,2.2,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Any,Not Admitted,585,192,3.2,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Asthma,Not Admitted,10,168,2.8,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,11,234,3.9,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Pneumonia,Not Admitted,0,174,2.9,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Trauma,Not Admitted,84,192,3.2,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Unintentional Falls,Not Admitted,10,270,4.5,0
2015-2016,2015,CTAS I - Resuscitation,1,Total,Acute Myocardial Infarction,Not Admitted,2375,66,1.1,0
2015-2016,2015,CTAS I - Resuscitation,1,Total,Any,Not Admitted,82289,276,4.6,0
2015-2016,2015,CTAS I - Resuscitation,1,Total,Asthma,Not Admitted,997,312,5.2,0
2015-2016,2015,CTAS I - Resuscitation,1,Total,Influenzal Pneumonia,Not Admitted,5,336,5.6,0
2015-2016,2015,CTAS I - Resuscitation,1,Total,Motor Vehicle Collisions,Not Admitted,4137,240,4.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Total,Pneumonia,Not Admitted,1869,423,7.05,0
2015-2016,2015,CTAS I - Resuscitation,1,Total,Trauma,Not Admitted,12442,234,3.9,0
2015-2016,2015,CTAS I - Resuscitation,1,Total,Unintentional Falls,Not Admitted,2684,276,4.6,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Acute Myocardial Infarction,Not Admitted,711,66,1.1,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Any,Not Admitted,7181,162,2.7,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Asthma,Not Admitted,65,186,3.1,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Influenzal Pneumonia,Not Admitted,0,666,11.1,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Motor Vehicle Collisions,Not Admitted,583,114,1.9,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Pneumonia,Not Admitted,96,237,3.95,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Trauma,Not Admitted,1513,138,2.3,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Unintentional Falls,Not Admitted,299,180,3.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Any,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Asthma,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Trauma,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS II - Emergent,2,Admitted,Acute Myocardial Infarction,Admitted,11965,486,8.1,1
2015-2016,2015,CTAS II - Emergent,2,Admitted,Any,Admitted,465490,612,10.2,1
2015-2016,2015,CTAS II - Emergent,2,Admitted,Asthma,Admitted,3553,528,8.8,1
2015-2016,2015,CTAS II - Emergent,2,Admitted,Influenzal Pneumonia,Admitted,121,564,9.4,1
2015-2016,2015,CTAS II - Emergent,2,Admitted,Motor Vehicle Collisions,Admitted,4411,420,7.0,1
2015-2016,2015,CTAS II - Emergent,2,Admitted,Pneumonia,Admitted,17560,678,11.3,1
2015-2016,2015,CTAS II - Emergent,2,Admitted,Trauma,Admitted,25788,480,8.0,1
2015-2016,2015,CTAS II - Emergent,2,Admitted,Unintentional Falls,Admitted,14532,528,8.8,1
2015-2016,2015,CTAS II - Emergent,2,Death,Acute Myocardial Infarction,Not Admitted,87,162,2.7,0
2015-2016,2015,CTAS II - Emergent,2,Death,Any,Not Admitted,1191,234,3.9,0
2015-2016,2015,CTAS II - Emergent,2,Death,Asthma,Not Admitted,0,618,10.3,0
2015-2016,2015,CTAS II - Emergent,2,Death,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS II - Emergent,2,Death,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS II - Emergent,2,Death,Pneumonia,Not Admitted,43,270,4.5,0
2015-2016,2015,CTAS II - Emergent,2,Death,Trauma,Not Admitted,40,252,4.2,0
2015-2016,2015,CTAS II - Emergent,2,Death,Unintentional Falls,Not Admitted,29,264,4.4,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Acute Myocardial Infarction,Not Admitted,466,306,5.1,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Any,Not Admitted,1271056,228,3.8,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Asthma,Not Admitted,13829,198,3.3,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Influenzal Pneumonia,Not Admitted,139,240,4.0,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Motor Vehicle Collisions,Not Admitted,25635,192,3.2,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Pneumonia,Not Admitted,15858,222,3.7,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Trauma,Not Admitted,154665,174,2.9,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Unintentional Falls,Not Admitted,48166,204,3.4,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,85,72,1.2,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Any,Not Admitted,11705,240,4.0,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Asthma,Not Admitted,90,201,3.35,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,103,216,3.6,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Pneumonia,Not Admitted,90,249,4.15,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Trauma,Not Admitted,1165,204,3.4,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Unintentional Falls,Not Admitted,244,228,3.8,0
2015-2016,2015,CTAS II - Emergent,2,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,87,330,5.5,0
2015-2016,2015,CTAS II - Emergent,2,Not Seen Or Left,Any,Not Admitted,43044,150,2.5,0
2015-2016,2015,CTAS II - Emergent,2,Not Seen Or Left,Asthma,Not Admitted,145,189,3.15,0
