fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag
2010-2011,2010,CTAS III - Urgent,3,Transferred,Unintentional Falls,Not Admitted,4539,251,4.18,0
2010-2011,2010,Less urgent,3,Transferred,Unintentional Falls,Not Admitted,1525,224,3.73,0
2010-2011,2010,Non-urgent,3,Transferred,Unintentional Falls,Not Admitted,105,166,2.77,0
2010-2011,2010,Unknown,3,Transferred,Unintentional Falls,Not Admitted,137,180,3.0,0
2010-2011,2010,CTAS III - Urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2010-2011,2010,Less urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2010-2011,2010,Non-urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Unknown,Any,Not Admitted,0,0,0.0,0
2010-2011,2010,Less urgent,3,Unknown,Any,Not Admitted,0,0,0.0,0
2010-2011,2010,Non-urgent,3,Unknown,Any,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Unknown,Any,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2010-2011,2010,Less urgent,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2010-2011,2010,Non-urgent,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Unknown,Asthma,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Less urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Non-urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2010-2011,2010,Less urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2010-2011,2010,Non-urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Less urgent,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Non-urgent,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2010-2011,2010,Less urgent,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2010-2011,2010,Non-urgent,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2010-2011,2010,Unknown,3,Unknown,Trauma,Not Admitted,0,0,0.0,0
2010-2011,2010,CTAS III - Urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2010-2011,2010,Less urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
